scanned,registrarname,domains,total_apwg,legacy_apwg,apwg_legacy_2_legacy
31-12-2016,shinjirumscsdnbhd,12661,57.0,57.0,0.450201405892
31-12-2016,upperlink,3669,5.0,5.0,0.136276914691
31-12-2016,mindsandmachines,3092,2.0,2.0,0.371747211896
31-12-2016,rethemhosting,1970,26.0,26.0,1.35487232934
31-12-2016,tecnologiadesarrolloymercadosderldecv,1464,0.0,0.0,0.0
31-12-2016,abughazalehintellectualpropertydbatagidomainscom,1239,0.0,0.0,0.0
31-12-2016,internetdomainservicebsrasia,289,6.0,6.0,2.07612456747
31-12-2016,vodieninternetsolutionspterasia,78,0.0,0.0,0.0
31-12-2016,reservedinternetassignednumbersauthority,26,0.0,0.0,0.0
31-12-2016,mindsmachinesregistrar,4,0.0,0.0,0.0
